clean_text_PhoBERT,true_sentiment,pred_sentiment,true_topic,pred_topic
thầy không up slide bài giảng lên website môn_học .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
nhiều bài_tập về nhà .,Tiêu cực,Trung tính,Chương trình,Chương trình
"chưa đi_sâu vào nội_dung slide , hoạt_động trên lớp thường chỉ làm bài_tập .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"kiến_thức nói thì lung_tung , lan_man , dàn_trải .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giáo_viên phát cho tài_liệu cũ nhiều năm mặc_dù chương_trình giảng_dạy trên lớp lại là tài_liệu mới .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"nhà_trường biết đấy , khi mình học mà không biết mình học gì , khi mình làm mà không biết mình làm gì thì cũng giống như người mù đi giữa bóng đêm vậy .",Tiêu cực,Trung tính,Chương trình,Khác
em kiến_nghị thầy điểm thuyết_trình và báo_cáo phải riêng .,Tiêu cực,Trung tính,Giảng viên,Khác
không có điều gì không hài_lòng .,Tích cực,Trung tính,Khác,Khác
cho các nhóm lên trình_bày để tránh việc các bạn copy bài trên mạng và không hiểu bài .,Tích cực,Tiêu cực,Giảng viên,Chương trình
tiết học của thầy rất nhàm_chán .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
em chỉ đăng_ký học để chuyển điểm nên em không biết .,Trung tính,Tiêu cực,Chương trình,Khác
"nghiêm_khắc trong khi dạy , kiến_thức chuyên_ngành cao .",Tiêu cực,Tích cực,Giảng viên,Giảng viên
"em không định_hướng được mình sẽ học gì , khi học thì em không biết ứng_dụng vào thực_tế ra sao .",Tiêu cực,Trung tính,Khác,Khác
thiếu hướng_dẫn chi_tiết .,Tiêu cực,Tiêu cực,Chương trình,Khác
không up slide lên moodle để sinh_viên dễ nắm_bắt bài giảng hơn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
có nhiều phương_pháp giảng_dạy hay và nhiều cách giúp sinh_viên hoàn_thành bài tốt .,Tích cực,Tích cực,Chương trình,Giảng viên
có nhiều ví_dụ và giải_thích rõ hơn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"còn nói_chuyện lan_man , lạc_đề dẫn đến tốn thời_gian .",Tiêu cực,Tiêu cực,Chương trình,Khác
"thầy dạy có tâm , nhiệt_tình nhưng_mà nói hơi nhanh chút_xíu .",Trung tính,Tiêu cực,Giảng viên,Giảng viên
kiểm_tra bài_tập về nhà chưa kỹ .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"slide bài giảng toàn chữ , màu nền xanh pdf làm tất_cả sinh_viên không_thể photo ra đọc .",Tiêu cực,Trung tính,Chương trình,Chương trình
tuyệt_vời !,Tích cực,Tích cực,Khác,Giảng viên
"nội_dung truyền_tải chưa sâu , có phần_lớn thời_gian trên lớp giảng_viên chỉ chạy demo .",Tiêu cực,Tiêu cực,Chương trình,Giảng viên
có sự phối_hợp chặt_chẽ giữa giáo_viên lý_thuyết và thực_hành .,Tích cực,Trung tính,Giảng viên,Chương trình
sinh_viên khó tiếp_thu kiến_thức .,Tiêu cực,Tiêu cực,Khác,Chương trình
"cần có một giáo_trình cụ_thể , tập_trung vào một lĩnh_vực .",Tiêu cực,Trung tính,Chương trình,Chương trình
"tận_tình , không có thời_gian chết .",Tích cực,Tiêu cực,Giảng viên,Cơ sở vật chất
các bài thực_hành nên bám sát thực_tế và có ứng_dụng thực_tiễn .,Tiêu cực,Tích cực,Chương trình,Chương trình
"cần có các buổi thực_hành trên phòng lab để sinh_viên tiếp_cận thực_tế với các thiết_bị mạng , áp_dụng kiến_thức về lý_thuyết đã học để thực_hành .",Tiêu cực,Tiêu cực,Giảng viên,Cơ sở vật chất
môn_học này rất hay và rất khó và rất đáng để học .,Tích cực,Tiêu cực,Chương trình,Chương trình
"do có nhiều giảng_viên dạy , cách làm bài khác nhau nhưng lại chấm bài chéo , khiến sinh_viên lúng_túng , điểm thi cũng có sự chênh_lệch .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
quá nhiều .,Tiêu cực,Tiêu cực,Khác,Chương trình
"lý_thuyết có_lẽ thầy rất hay song về bài_tập có_lẽ hơi mập_mờ về kiến_thức , rất thường nhầm_lẫn .",Tiêu cực,Tích cực,Giảng viên,Giảng viên
truyền_đạt được nhiều kiến_thức tổng_quát .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
học thoải_mái không ràng_buộc .,Tích cực,Tiêu cực,Giảng viên,Khác
bộ kit thực_hành hầu_như tất_cả đã hỏng .,Tiêu cực,Trung tính,Cơ sở vật chất,Chương trình
các yêu_cầu của môn cần ghi rõ .,Tiêu cực,Tiêu cực,Khác,Chương trình
"thầy cho các bài thực_hành cần dàn_trải đầy_đủ nội_dung học , đề thi thực_hành dài .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giờ là 2014 rồi !,Trung tính,Tiêu cực,Khác,Giảng viên
"nhiệt_tình , khá dễ_tính trong việc báo_cáo các lab , có_thể để nhiều lab đến cuối kỳ báo_cáo một lần .",Tích cực,Tiêu cực,Giảng viên,Khác
cho thảo_luận nhóm khá hay .,Tích cực,Tích cực,Giảng viên,Chương trình
giáo_viên tạo nhiều cơ_hội cho sinh_viên được luyện nói tiếng anh trên lớp .,Trung tính,Tích cực,Giảng viên,Giảng viên
"giảng_viên trình_bày các vấn_đề trong môn_học mang tính cập_nhật , chuẩn_xác và có liên_hệ thực_tiễn .",Tích cực,Tích cực,Giảng viên,Chương trình
"một phần do hoàn_toàn là tiếng anh , và tụi em vẫn chưa thích_nghi kịp .",Tiêu cực,Tiêu cực,Chương trình,Khác
"nội_dung bài_học đều sát với thực_tế , lý_thuyết dễ hiểu .",Tích cực,Tích cực,Giảng viên,Chương trình
thà em ở nhà tự học còn tốt hơn là đi nghe đọc slide .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thầy đã giúp em nâng cao khả_năng lập_trình .,Tích cực,Tích cực,Giảng viên,Khác
"có khả_năng truyền_đạt , chú_trọng đến kiến_thức hơn điểm_số .",Tích cực,Tiêu cực,Giảng viên,Chương trình
"cô thân_thiện , nhiệt_tình , nhưng cô nên kể chuyện hay phà trò gì đó một_chút dotdotdot hi_hi .",Tích cực,Trung tính,Giảng viên,Giảng viên
cho thêm bài_tập và ví_dụ hiểu rõ cách cài_đặt thuật_toán .,Tiêu cực,Trung tính,Giảng viên,Chương trình
"phương_pháp dạy thực_hành của thầy rất hay , chỉ cho mục_tiêu để thực_hiện , chứ không đưa code , từ đó các sinh_viên có cơ_hội tìm_hiểu chuyên_sâu về các bài thực_hành .",Tích cực,Tiêu cực,Giảng viên,Chương trình
tổ_chức tham_quan doanh_nghiệp .,Tích cực,Tiêu cực,Chương trình,Chương trình
giáo_viên năng_động .,Tích cực,Trung tính,Giảng viên,Giảng viên
chất_lượng tốt không cần cải_tiến .,Tích cực,Tiêu cực,Khác,Khác
thầy cho bài_tập ví_dụ làm ngay trên giờ học lý_thuyết nên dễ nhớ hơn và nếu có chưa hiểu chỗ nào ngay trên ví_dụ cũng được thầy giải_đáp ngay .,Tích cực,Trung tính,Giảng viên,Giảng viên
mong thầy giảng_dạy ở những môn tiếp_theo .,Tích cực,Trung tính,Giảng viên,Giảng viên
nên cho sinh_viên những đề thi thử môn tiếng anh sao cho gần tương_tự trong đề thi thật để kết_quả học_tập nâng cao .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
hậu_quả họ phải chép lẫn nhau .,Tiêu cực,Trung tính,Giảng viên,Khác
môn_học cần_thiết và thiết_thực với ngành học .,Tiêu cực,Trung tính,Chương trình,Chương trình
phần thực_hành này học 3 buổi .,Trung tính,Tiêu cực,Chương trình,Chương trình
cập_nhật nguồn tài_liệu cho sinh_viên .,Tiêu cực,Trung tính,Chương trình,Chương trình
omg .,Tiêu cực,Trung tính,Khác,Khác
"có mở_rộng nội_dung giới_thiệu về một_số nền tẳng mới như doubledot blackbery , tizen nền_tảng đa ứng_dụng doubledot phonegap , titanium , zun .",Tích cực,Tiêu cực,Chương trình,Chương trình
cô đi dạy đúng giờ .,Tích cực,Trung tính,Giảng viên,Giảng viên
"cho sinh_viên nói với bạn , giao_tiếp tất_cả trong lớp bằng tiếng anh .",Trung tính,Trung tính,Chương trình,Giảng viên
"em mong những lần sau thầy hãy gom lại những phần xử_lý giống nhau vào một câu thôi , sinh_viên làm được phần này đương_nhiên sẽ làm được phần kia .",Tiêu cực,Trung tính,Giảng viên,Chương trình
lớp_học ồn .,Tiêu cực,Trung tính,Khác,Khác
"nhiều bạn trong lớp đã phải mua thêm ram , ổ_cứng để đáp_ứng nhu_cầu .",Tiêu cực,Tiêu cực,Cơ sở vật chất,Chương trình
"dễ hiểu , biết lắng_nghe ý_kiến sinh_viên , đáp_ứng mọi yêu_cầu của sinh_viên .",Tích cực,Tích cực,Giảng viên,Khác
lúc đầu có thống_nhất không làm đồ_án nhưng cuối_cùng lại bắt sinh_viên làm đồ_án làm sinh_viên bất_ngờ !,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giảng_viên hay đi công_tác .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"thời_gian lên_lớp đảm_bảo , bám sát yêu_cầu của bài_học .",Tích cực,Trung tính,Chương trình,Chương trình
"giáo_viên lên_lớp nhưng không giúp sinh_viên hiểu bài và chỉ làm_việc riêng của mình , mặc lớp thực_hành bên dưới .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
"thầy thường cho bài_tập củng_cố kiến_thức , bài_tập phong_phú , bao_quát kiến_thức lý_thuyết đã học .",Tích cực,Tích cực,Giảng viên,Chương trình
nên hướng_dẫn cụ_thể và có ví_dụ dễ hiểu cho từng nội_dung môn_học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thầy chấm điểm gắt .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
giảng_viên cần phải giảng và hướng_dẫn thực_hành từng bài_học của mỗi buổi học để sinh_viên hiểu và thực_hành được .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giao bài_tập về nhà để sinh_viên hoàn_thành và giờ sau lên bảng giải lấy điểm cộng .,Tích cực,Trung tính,Giảng viên,Giảng viên
làm bài_tập dễ hiểu .,Tích cực,Tích cực,Giảng viên,Chương trình
"dạy thiên về lý_thuyết nhiều , nên kết_hợp cả lý_thuyết và bài_tập vận_dụng trong cùng một buổi học để sinh_viên dễ_dàng nắm bài .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
được trải_nghiệm thực_tế sẽ giúp cho môn_học thêm phần thú_vị và sự thú_vị đó sẽ tạp động_lực cho sinh_viên tự tìm_hiểu sau_này .,Tiêu cực,Tiêu cực,Chương trình,Khác
"nộp báo_cáo giữa kỳ không có hồi_đáp , đến lúc báo_cáo cuối kỳ thì lại bảo đề_tài các em báo_cáo không được phép chọn , mặc_dù đề_tài có trong danh_sách giảng_viên up lên moodle .",Tiêu cực,Trung tính,Giảng viên,Khác
"tận_tâm , dễ hiểu .",Tích cực,Tích cực,Giảng viên,Khác
các bài_tập về nhà và bài_tập kiểm_tra tại lớp giúp tụi em chú_tâm vào học_tập hơn .,Tích cực,Trung tính,Chương trình,Chương trình
mặt còn không biết thì giảng_dạy cái gì đây .,Tiêu cực,Tiêu cực,Giảng viên,Khác
giữ nguyên_hình thức cũ !,Trung tính,Tiêu cực,Khác,Chương trình
điểm_danh vấn_đề đi học thông_qua việc lên sửa bài_tập hơi gắt chút .,Tiêu cực,Trung tính,Chương trình,Giảng viên
"phát_âm của cô hơi sai , đặc_biệt phần chữ thực_hành .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
có nhiều thời_gian hơn để gặp giáo_viên và thực_hành trên lớp .,Trung tính,Tiêu cực,Chương trình,Chương trình
"giải_thích tất_cả nội_dung mới , nói sơ_lược về nội_dung cũ .",Tích cực,Tiêu cực,Giảng viên,Chương trình
không dạy lướt và áp_dụng những phần chưa học vào tiết học hiện_tại .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
kỹ_lưỡng .,Tích cực,Tích cực,Khác,Giảng viên
nên nhiều vấn_đề thầy giảng còn hơi mông_lung khó hiểu .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
giảng_viên nên tạo ra không_khí đại_học công_nghiệp việt_trì vẻ để sinh_viên có_thể thoải_mái nói bằng tiếng anh .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
"giảng_viên tận_tình , không_khí giờ học không áp_lực .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"sẵn_sàng giảng lại nếu một bạn nào đó không hiểu , nhiều lần cho đến khi bạn hiểu rõ vấn_đề .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"viết bài nhiều , học ngoài giờ nhiều .",Tích cực,Tích cực,Giảng viên,Chương trình
cô nên dạy nội_dung thực_tiễn của nội_dung môn_học với cuộc_sống hơn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cập_nhật thông_tin môn_học trên courses .,Tiêu cực,Trung tính,Chương trình,Chương trình
"em không biết là do giảng_viên hay do bộ_môn phân_bổ cách dạy như_vậy nhưng em hi_vọng chất_lượng sẽ ngày được cải_thiện , chúng_em là sinh_viên học để sau_này đi làm chứ không phải học để qua môn , và tiếng anh lại rất cần_thiết co ngành_nghề của chúng_em .",Tiêu cực,Tiêu cực,Chương trình,Khác
"môn_học đòi_hỏi máy_tính sinh_viên thực_hành có cấu_hình cao tuy_nhiên , có nhiều sinh_viên không_thể đảm bao điều_kiện .",Tiêu cực,Tiêu cực,Cơ sở vật chất,Chương trình
nên upload nội_dung học sau mỗi bữa vào module để sinh_viên không đi học bữa đó nắm được mình sẽ cần chuẩn_bị những gì vào buổi sau .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
có nhiều giờ chữa và giải bài_tập hơn_nữa .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
"chỉ nên cho làm những bài_tập vừa và ngắn , trong quá_trình làm bài_tập thì giúp_đỡ những sinh_viên chưa hiểu bài , không bỏ ra ngoài .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
không được đánh mạnh .,Tiêu cực,Trung tính,Khác,Khác
"hơi nghiêm quá , nhưng không vấn_đề , rất tốt .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
em biết_điều này hơi khó nhưng liệu thầy có_thể luyện giọng địa_phương được không ạ .,Tiêu cực,Tiêu cực,Giảng viên,Khác
có phần thầy nói hơi nhanh .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
bài giảng rõ_ràng .,Tích cực,Tích cực,Chương trình,Giảng viên
làm đồ_án phải báo_cáo mỗi 2 tuần .,Tích cực,Trung tính,Giảng viên,Khác
không giao bài_tập .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
được nói cặp .,Tích cực,Trung tính,Giảng viên,Khác
sau mỗi định_lý nên có ví_dụ và chữa chi_tiết ngay .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
phần học lý_thuyết suông .,Tiêu cực,Trung tính,Chương trình,Chương trình
dạy dài khó hiểu .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"về cách chấm điểm đồ_án cuối kỳ , giảng_viên hoàn_toàn chấm theo cảm_tính mà không có bất_cứ một thang điểm cụ_thể nào .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
có nhiều hình_thức giảng_dạy mới giúp sinh_viên tiếp_thu kiến_thức dễ_dàng .,Tích cực,Tích cực,Chương trình,Khác
đưa ra lịch thự hành các môn trước khi đăng_ký môn_học .,Tiêu cực,Trung tính,Chương trình,Chương trình
vì thời_gian trong lớp tập_trung hơn .,Trung tính,Tiêu cực,Khác,Chương trình
"bám quá nhiều vào giáo_trình , cần giảng nhiều hơn các ví_dụ như_vậy sinh_viên mới dễ ứng_dụng .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"cung_cấp kiến_thức bổ_ích , dễ tiếp_thu .",Tích cực,Tích cực,Giảng viên,Chương trình
còn thiếu bài giảng trên moodle .,Tiêu cực,Tiêu cực,Khác,Chương trình
sinh_viên dễ cảm_thấy chán và ớn .,Tiêu cực,Tiêu cực,Chương trình,Khác
"slide bài giảng còn khá nhiều chỗ sai_sót , chưa thống_nhất , rất mong giảng_viên chỉnh_sửa lại .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"có nhiều hoạt_động thiết_thực , cách nói hấp_dẫn .",Tích cực,Trung tính,Giảng viên,Khác
lớp có 2 giảng_viên hướng_dẫn là cô wzjwz90 và thầy wzjwz91 .,Trung tính,Tích cực,Khác,Giảng viên
chỉ có việc đọc slide và chấm điểm không giải_thích gì thêm .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"kiến_thức thu được là con_số 0 , ngao_ngán với bài_tập cách giảng_dạy của giảng_viên .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
"nhiệt_tình , nghiêm_khắc .",Tích cực,Tích cực,Giảng viên,Khác
phương_pháp truyền_đạt của cô hơi quan_liêu bao_cấp .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"quá nhiều lý_thuyết , ít giải bài_tập .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"em không học thầy này mà sao lại có khảo_sát , em không rõ cho lắm .",Tiêu cực,Trung tính,Khác,Khác
"trong lúc giải bài_tập cho đến khi giải xong bài_tập , sinh_viên không thế hiểu được tại_sao ra được kết_quả và cũng không biết kết_quả nào là chính_xác để ghi_nhận .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
dạy đầy_đủ .,Tích cực,Trung tính,Giảng viên,Giảng viên
bài giảng hấp_dẫn .,Tích cực,Tích cực,Giảng viên,Chương trình
ví_dụ của thầy cũng chưa rõ_ràng .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
điều đó làm tăng áp_lực cho sinh_viên .,Tiêu cực,Tích cực,Khác,Khác
"có_thể biết được cách quản_lý dữ_liệu , có rất nhiều tài_liệu tham_khảo được giảng_viên cập_nhật .",Tích cực,Tích cực,Giảng viên,Khác
giảng_viên đưa nhiều bài_tập với mức_độ từ dễ đến khó .,Tích cực,Tiêu cực,Giảng viên,Khác
đề_cương đầy_đủ .,Tích cực,Trung tính,Chương trình,Chương trình
dạy_học nhiệt_tình giải nhiều bài_tập khó mà bọn em làm không ra .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
làm_sao vớt_vát được .,Tiêu cực,Trung tính,Khác,Khác
"thông_báo bài_tập rất muộn và nhiều thay_vì chia nhỏ và giao bài_tập sớm , khiến sinh_viên bị quá_tải và chịu áp_lực trong việc giải_quyết bài_tập .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cố_chấp .,Tiêu cực,Trung tính,Khác,Khác
thầy còn hay đi muộn .,Tiêu cực,Tiêu cực,Giảng viên,Khác
em hầu_như không được gặp cô ạ .,Tiêu cực,Trung tính,Giảng viên,Khác
tài_liệu cung_cấp cho sinh_viên trên web của trường còn ít .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
chưa theo sát chương_trình .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giáo_viên giảng bài rất hay và thú_vị và truyền_tải được nội_dung môn_học rõ_ràng ý_nghĩa .,Tích cực,Tích cực,Giảng viên,Chương trình
cứ lo tụi em không hiểu mà dạy đi dạy lại tới khi hiểu rõ vấn_đề mới qua phần mới .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
giải bài_tập .,Trung tính,Trung tính,Giảng viên,Chương trình
vì thầy không đến lớp giảng_dạy bữa nào cả nên em không biết nhận_xét .,Trung tính,Tiêu cực,Giảng viên,Giảng viên
"em được biết đây là kỳ dạy cuối_cùng của thầy nên em chúc thầy sức_khoẻ dồi_dào , gia_đình hạnh_phúc .",Trung tính,Tiêu cực,Giảng viên,Khác
cho sinh_viên những bài_tập cơ_bản để tìm_hiểu về bài giảng lý_thuyết .,Trung tính,Tiêu cực,Giảng viên,Chương trình
cô rất hay .,Tích cực,Tích cực,Giảng viên,Khác
sau mỗi buổi thuyết_trình nên chốt lại vấn_đề đã học được những gì .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"thầy giảng khá hay , không buồn_ngủ .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"thầy dạy hay , hài_hước , không cô_đọng và nhàm_chán .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
mặc_dù có kiến_thức tốt !,Trung tính,Tích cực,Khác,Chương trình
"xét điểm quá_trình và giữa kỳ thì lại không công_bằng , chủ cần đứng lên hỏi là có ngay điểm cộng , nhắc_nhở cái sai của thầy là có điểm .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thầy mở_rộng giảng_dạy thêm nhiều ứng_dụng của các kiểu cấu_trúc dữ_liệu .,Tích cực,Trung tính,Giảng viên,Giảng viên
thao_tác giáo_án điện_tử và các phần_mềm hỗ_trợ nhiều hơn .,Tiêu cực,Tiêu cực,Khác,Chương trình
"giáo_trình giảng_dạy còn cứng_nhắc , không linh_hoạt với đời_sống thực_tế , xã_hội .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thường_xuyên trao_đổi thông_tin về tình_trạng công_việc hiện_tại và giới_thiệu các doanh_nghiệp phù_hợp khả_năng của sinh_viên .,Tích cực,Tích cực,Giảng viên,Chương trình
"cô dạy hay và dễ hiểu , đại_học công_nghiệp việt_trì tính , em rất hài_lòng về môn_học do cô wzjwz118 dạy , em xin cảm_ơn .",Tích cực,Tích cực,Giảng viên,Khác
nhiều ví_dụ được đưa ra để phục_vụ cho bài_học .,Tích cực,Trung tính,Chương trình,Chương trình
chưa sử_dụng hết thời_gian dạy_học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"nhắc_nhở sinh_viên là ý tốt của thầy , nhưng thật_sự tụi em thấy rất áp_lực với môn_học này .",Tiêu cực,Tích cực,Giảng viên,Chương trình
chúc thầy có một học_kỳ khác thành_công hơn với môn_học hiện_tại .,Tích cực,Trung tính,Giảng viên,Giảng viên
dễ hiểu đại_học công_nghiệp việt_trì vẻ không_khí lớp thoải_mái .,Tích cực,Tích cực,Giảng viên,Khác
"cung_cấp đầy_đủ tài_liệu và giáo_trình môn_học , nhiệt_tình , tận_tâm với sinh_viên .",Tích cực,Tích cực,Khác,Chương trình
làm bài_tập nhóm hiệu_quả .,Tích cực,Trung tính,Giảng viên,Chương trình
nên cho bài_tập về nhà sau mỗi chương .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thầy luôn tạo một vẻ bề_ngoài khiến cho sinh_viên căng_thẳng khi học .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
mặc_dù thầy bận công_tác nhưng vẫn làm video hỗ_trợ tụi em học_tập .,Tích cực,Trung tính,Giảng viên,Giảng viên
"cung_cấp giáo_trình đầy_đủ , phiên_bản có_thể xem được trên máy_tính pdf hoặc doc .",Tích cực,Tiêu cực,Chương trình,Cơ sở vật chất
sáng_tạo dễ tiếp_thu .,Tích cực,Tích cực,Giảng viên,Khác
chỉ cần cho bài_tập qua web môn_học_sinh_viên sẽ làm .,Trung tính,Tiêu cực,Chương trình,Khác
mỗi ngày đi học kinh_tế đại_cương là một niền đại_học công_nghiệp việt_trì đối_với em !,Tích cực,Tích cực,Chương trình,Khác
giúp sinh_viên tiếp_thu kiến_thức nhưng không làm nhàm_chán .,Tiêu cực,Trung tính,Giảng viên,Chương trình
"thầy dạy toàn đọc slide , lúc thì học java lúc thì học di_động học , học tùm_lum không thống_nhất với lớp khác .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"bài_tập thầy cho cũng đòi_hỏi phải đến lớp , nghe giảng và phải hiểu thật_sự mới làm được .",Trung tính,Tiêu cực,Chương trình,Chương trình
không nên giao bài_tập cho sinh_viên rồi để sinh_viên trên lớp tự làm bài trong một khoảng thời_gian lâu .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
rất mong được thầy dạy tiếp trong các học_kỳ sau .,Tích cực,Trung tính,Giảng viên,Giảng viên
giảng bài đúng trọng_tâm .,Tích cực,Tích cực,Giảng viên,Chương trình
số_lượng sinh_viên trên một lớp cần ít hơn .,Tiêu cực,Tiêu cực,Khác,Chương trình
"sự tận_tình , đúng giờ và nghiêm_túc trong việc học .",Tích cực,Tích cực,Giảng viên,Khác
thầy dạy ngắn_gọn không lan_man .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
chỉ cần khoảng 60 % gần tương_ứng với nội_dung thi là đủ .,Trung tính,Tiêu cực,Chương trình,Chương trình
có 3 vấn_đề tôi không hài_lòng và rất là bức_xúc về giảng_viên .,Tiêu cực,Trung tính,Giảng viên,Khác
học được nhiều kỹ_năng mới và hay .,Tích cực,Tích cực,Khác,Chương trình
"em không hài_lòng khi đề thi kết_thúc môn phần thực_hành thầy cho quá khó so với các lớp khác em kiến_nghị doubledot hoặc nâng cao chất_lượng đề thi của tất_cả giảng_viên , hoặc thầy giảm độ khó của thầy lại kính chào và kính gửi .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
không up tài_liệu lên moodle .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"thầy thường chia_sẻ rất nhiều bài viết , nghiên_cứu khoa_học , và các sản_phẩm ứng_dụng mà thầy thực_hiện .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
tạo động_lực cho học_sinh học_tập .,Tích cực,Tích cực,Chương trình,Giảng viên
"loa và micro còn gặp nhiều sự_cố trong quá_trình giảng_dạy , đặc_biệt là kỹ_năng nghe .",Tiêu cực,Tiêu cực,Cơ sở vật chất,Giảng viên
dạy chắc là_hơi nhanh .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"thầy tận_tâm , dạy hết tất_cả mọi thứ mà thầy có .",Tích cực,Trung tính,Giảng viên,Giảng viên
"giáo_viên thực_hành chưa thật_sự giảng_dạy hết_mình , hầu_như để sinh_viên tự nghiên_cứu không_chỉ gì hết !",Tiêu cực,Trung tính,Giảng viên,Giảng viên
"có_thể trao_đổi thắc_mắc với thầy một_cách thoải_mái , không gây áp_lực .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
khiến sinh_viên mơ_hồ về môn này .,Tiêu cực,Tiêu cực,Khác,Chương trình
theo chủ_quan của cá_nhân tôi cô wzjwz248 là người truyền_đạt kiến_thức tốt nhất từ trước tới giờ so với những giảng_viên mà tôi từng biết .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
cái này vấn_đề chung của cả nước mất rồi colonhihi .,Trung tính,Tiêu cực,Khác,Khác
thay_đổi phương_thức giảng_dạy cho phù_hợp hơn .,Tiêu cực,Trung tính,Chương trình,Chương trình
em thật_sự không thích chấm bài bằng máy vì máy luôn có nhưng hạn_chế nhất_định .,Tiêu cực,Tiêu cực,Chương trình,Cơ sở vật chất
"sinh_động , hoạt_bát , dễ hiểu .",Tích cực,Tích cực,Giảng viên,Khác
có lời cho công_việc sau_này của mình không .,Tiêu cực,Trung tính,Khác,Khác
"rất tốt , bám sát môn_học .",Tích cực,Tích cực,Khác,Chương trình
"hài_lòng nhất là việc rep mail của thầy , cực nhanh trừ thứ_bảy và chủ_nhật thầy giải_lao không rep mail .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
mức_độ truyền_đạt tốt .,Tích cực,Tích cực,Giảng viên,Khác
chỉ cần cho bài_tập rồi làm nộp .,Trung tính,Tiêu cực,Chương trình,Chương trình
giảng hơi nhiều kiến_thức vượt quá phạm_vi môn này .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
tính kỷ_luật cao .,Tích cực,Tích cực,Khác,Chương trình
không ổn .,Tiêu cực,Trung tính,Khác,Khác
"sinh_viên xin được vắng do các hoạt_động bên đoàn , hội , chi_bộ nhưng giáo_viên không cho_phép .",Tiêu cực,Trung tính,Giảng viên,Chương trình
